epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.08969,1.36276,3.66061,3.43051,1.32683,0.00206,0.33333,0.00918,0.00366,0.00103,0.16667,0.00177,0.00053,1.59096,6.87389,3.84515,1.81686,0,0,0
2,11.7831,1.57901,4.0791,3.69211,1.43167,0.00204,0.33333,0.00843,0.00384,0.00102,0.16667,0.00236,0.00141,1.55208,6.32391,3.80914,1.80393,1.63399e-05,1.63399e-05,1.63399e-05
3,16.8206,1.2839,3.31129,3.52032,1.29993,0.00202,0.33333,0.00813,0.00377,0.00101,0.16667,0.00254,0.00152,1.4866,5.38402,3.74287,1.74974,3.20197e-05,3.20197e-05,3.20197e-05
4,21.6633,0.97462,2.55605,3.42606,1.18425,0.002,0.33333,0.00835,0.0051,0.001,0.16667,0.00463,0.00324,1.29157,4.21009,3.70258,1.61142,4.70394e-05,4.70394e-05,4.70394e-05
5,26.2542,1.05257,2.16629,3.21731,1.2303,0.00298,0.5,0.00931,0.00474,0.00198,0.33333,0.00651,0.00296,1.10298,3.09048,3.62948,1.5063,6.13989e-05,6.13989e-05,6.13989e-05
6,30.8805,0.9149,2.02404,3.12518,1.21964,0.00293,0.5,0.01405,0.00593,0.00324,0.41667,0.00725,0.00297,0.98909,2.31811,3.58662,1.43496,7.50984e-05,7.50984e-05,7.50984e-05
7,35.8448,0.82872,1.75357,3.01182,1.04731,0.00555,0.66667,0.01703,0.00743,0.00555,0.66667,0.02267,0.00671,0.87736,1.79381,3.54095,1.32795,8.81376e-05,8.81376e-05,8.81376e-05
8,41.1167,0.82638,1.58011,2.91803,0.99392,0.00972,0.91667,0.04825,0.02179,0.00972,0.91667,0.09351,0.02365,0.76592,1.68986,3.46636,1.19295,0.000100517,0.000100517,0.000100517
9,46.4726,0.71296,1.26496,2.68372,0.95401,0.00972,0.91667,0.04825,0.02179,0.00972,0.91667,0.09351,0.02365,0.76592,1.68986,3.46636,1.19295,0.000112236,0.000112236,0.000112236
10,51.6136,0.73136,1.99249,2.61097,0.98956,0.01101,1,0.17445,0.12542,0.01101,1,0.17445,0.10611,0.63999,1.47059,3.36458,1.03813,0.000123295,0.000123295,0.000123295
11,57.6356,0.62981,1.28129,2.24471,0.93083,0.01101,1,0.17445,0.12542,0.01101,1,0.17445,0.10611,0.63999,1.47059,3.36458,1.03813,0.000133693,0.000133693,0.000133693
