epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1586,1.11212,2.96199,3.58583,1.31368,0.00353,0.33333,0.01115,0.00685,0.00566,0.41667,0.01325,0.00504,0.85058,2.29229,3.88957,1.18798,8.75e-05,8.75e-05,8.75e-05
2,69.8028,0.85659,2.15443,3.19088,1.09475,0.00439,0.5,0.1067,0.08009,0.00439,0.5,0.1067,0.08194,0.67474,1.42575,3.66008,0.95601,0.000183787,0.000183787,0.000183787
3,103.845,0.76467,1.55084,2.70052,1.03895,0.00965,0.58333,0.50279,0.37078,0.00965,0.58333,0.50279,0.40056,0.46209,0.98043,3.56366,0.90173,0.000276115,0.000276115,0.000276115
4,135.527,0.75041,1.25238,2.26033,1.01293,0.02747,0.83333,0.52724,0.45598,0.03309,0.91667,0.53335,0.45155,0.50918,0.98702,3.32635,0.92636,0.000364482,0.000364482,0.000364482
5,164.585,0.72184,1.25778,1.97004,1.01315,0.0438,1,0.6169,0.51459,0.0438,1,0.6169,0.54629,0.59018,0.8331,3.19575,0.94723,0.00044889,0.00044889,0.00044889
6,198.745,0.76337,1.37452,1.77029,1.00011,0.0507,1,0.63096,0.54151,0.0507,1,0.63096,0.5409,0.6009,0.78088,3.05979,0.96417,0.000529338,0.000529338,0.000529338
7,230.622,0.68588,1.03881,1.447,1.00756,0.042,1,0.59917,0.50979,0.042,1,0.59917,0.5007,0.52616,0.85935,3.07127,0.99007,0.000605825,0.000605825,0.000605825
8,264.736,0.73573,1.13769,1.62238,0.97615,0.24488,0.5,0.58685,0.48423,0.24488,0.5,0.58685,0.49567,0.54708,0.92757,3.12367,1.00945,0.000678352,0.000678352,0.000678352
9,299.624,0.79842,1.2449,1.87935,1.09544,0.5,0.40988,0.6296,0.54753,0.5,0.40988,0.6296,0.5319,0.6399,0.8968,2.8458,1.0068,0.00074692,0.00074692,0.00074692
10,335.178,0.67212,0.92209,1.6198,1.00409,0.5,0.37921,0.64972,0.54827,0.5,0.37921,0.64972,0.54907,0.59974,0.83608,2.75868,1.0296,0.000811528,0.000811528,0.000811528
11,371.341,0.68328,1.16493,1.58054,0.95584,0.52948,0.43408,0.68093,0.54656,0.52948,0.43408,0.68093,0.58418,0.58278,0.74061,2.66261,1.04203,0.000872175,0.000872175,0.000872175
12,407.191,0.71274,0.92678,1.4027,0.95774,0.5,0.4527,0.64717,0.53348,0.5,0.4527,0.64717,0.58596,0.64791,0.69265,2.56045,1.11462,0.000928863,0.000928863,0.000928863
13,445.237,0.69757,0.95755,1.46271,0.97784,0.5,0.47102,0.59145,0.48901,0.5,0.47102,0.59145,0.54636,0.62799,0.85802,2.60056,1.09648,0.000953,0.000953,0.000953
14,482.491,0.65282,0.96255,1.47991,0.96619,0.54306,0.59494,0.61653,0.56169,0.54306,0.59494,0.61653,0.58625,0.48792,0.79193,2.57934,0.94313,0.00092825,0.00092825,0.00092825
15,521.052,0.62487,0.85896,1.18013,0.95551,0.4857,0.50619,0.55865,0.53599,0.4857,0.50619,0.55865,0.52152,0.49997,0.71325,2.46803,0.93685,0.0009035,0.0009035,0.0009035
16,558.445,0.5943,0.73413,1.2078,0.96347,0.61764,0.52894,0.55768,0.50479,0.61764,0.52894,0.55768,0.53746,0.48005,0.59542,2.51697,0.96363,0.00087875,0.00087875,0.00087875
17,613.292,0.76075,1.02691,1.40989,1.13273,0.62802,0.58333,0.59231,0.54117,0.62802,0.58333,0.59231,0.56643,0.49599,0.55125,2.51021,0.97012,0.000854,0.000854,0.000854
18,649.305,0.65365,0.97104,1.28835,0.98683,0.56439,0.5966,0.60131,0.53808,0.56439,0.5966,0.60131,0.5679,0.53619,0.56279,2.65026,1.00297,0.00082925,0.00082925,0.00082925
19,682.301,0.67953,1.39994,1.30725,1.00515,0.59846,0.66667,0.63802,0.57867,0.59846,0.66667,0.63802,0.60758,0.50894,0.57809,2.46293,0.96165,0.0008045,0.0008045,0.0008045
