epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4539,0.95476,3.51823,1.20454,0.00304,0.25417,0.05877,0.03691,1.54201,3.85156,1.619,0.0964,0.0004,0.0004
2,77.7245,0.85114,2.2765,1.0406,0.02065,0.06823,0.01626,0.00475,2.20007,4.13456,2.04971,0.0918822,0.00088218,0.00088218
3,109.484,1.0025,2.01997,1.14701,0.1318,0.01354,0.00443,0.00114,2.89382,4.84578,3.46158,0.0873446,0.00134456,0.00134456
4,145.147,1.00972,1.94658,1.15333,0.16929,0.19984,0.02536,0.00534,2.88939,9.36977,6.32597,0.0827871,0.00178714,0.00178714
5,182.803,1.07839,1.94319,1.20802,0.40679,0.13958,0.04163,0.00904,2.86827,46.9344,7.46609,0.0782099,0.00220992,0.00220992
6,222.866,1.00344,1.75658,1.14322,0.43373,0.33682,0.15472,0.08118,2.0213,36.3036,3.61491,0.0736129,0.0026129,0.0026129
7,264.173,0.97099,1.67115,1.15135,0.05942,0.34901,0.08958,0.05237,2.42743,77.4195,6.39002,0.0689961,0.00299608,0.00299608
8,298.445,1.09666,1.62426,1.22896,0.10715,0.37701,0.10658,0.05015,2.66548,36.8336,5.29279,0.0643595,0.00335946,0.00335946
9,336.49,1.07066,1.60256,1.2381,0.0431,0.34351,0.04618,0.02289,3.04154,31.9885,6.83271,0.059703,0.00370304,0.00370304
10,382.243,1.07266,1.58471,1.2054,0.38168,0.04527,0.00598,0.00195,4.27351,510.448,12.3838,0.0550268,0.00402682,0.00402682
11,429.277,1.00964,1.41819,1.12354,0.50014,0.02344,0.00034,6e-05,4.6014,753.191,17.852,0.0503308,0.0043308,0.0043308
12,469.478,0.97477,1.49339,1.12002,0.00081,0.08021,0.00068,0.00011,3.62744,118.971,8.97235,0.045615,0.00461498,0.00461498
13,508.426,0.99288,1.42052,1.13242,0.00192,0.07656,0.00115,0.00018,3.51271,100.755,6.93484,0.0408794,0.00487936,0.00487936
14,551.896,0.95852,1.42709,1.1778,8e-05,0.01823,7e-05,1e-05,4.04774,1028.84,14.8589,0.0361239,0.00512394,0.00512394
15,597.634,0.95456,1.3783,1.13741,0.37584,0.00781,0.0002,3e-05,3.76456,1861.29,9.99092,0.0313487,0.00534872,0.00534872
16,639.363,1.00877,1.19005,1.12151,0.12596,0.11771,0.00126,0.0002,3.34325,286.955,5.89551,0.0265537,0.0055537,0.0055537
17,702.907,0.9672,1.31342,1.1415,0.50178,0.02865,0.00199,0.00062,3.38958,189.199,5.42859,0.0217389,0.00573888,0.00573888
18,749.199,0.91703,1.12762,1.13471,0.50336,0.08802,0.00192,0.00052,3.06921,65.517,4.35466,0.0169043,0.00590426,0.00590426
19,785.264,0.89272,1.12104,1.10851,0.05869,0.20532,0.03743,0.02306,2.74356,23.4968,3.18944,0.0120498,0.00604984,0.00604984
20,827.788,0.98419,1.36479,1.15837,0.20663,0.36393,0.18855,0.10748,2.24478,17.5203,2.78855,0.00717562,0.00617562,0.00617562
21,867.83,0.83797,1.07304,1.08168,0.23929,0.41873,0.21423,0.12054,1.98799,21.1959,2.45968,0.00604,0.00604,0.00604
22,905.293,0.91268,1.09772,1.13661,0.28477,0.3963,0.21937,0.12834,1.86539,15.6291,2.19108,0.005842,0.005842,0.005842
23,944.66,0.85639,1.11324,1.10988,0.39271,0.32663,0.24114,0.1487,1.80035,13.132,2.05627,0.005644,0.005644,0.005644
24,983.53,0.93816,1.09715,1.13124,0.52153,0.44782,0.42875,0.27385,1.56822,5.4521,2.02172,0.005446,0.005446,0.005446
25,1020.36,0.84016,1.07128,1.06675,0.33958,0.50404,0.40326,0.26322,1.55574,4.01582,1.94445,0.005248,0.005248,0.005248
26,1060.1,0.87088,1.0673,1.08262,0.34929,0.40395,0.31216,0.1912,1.62508,4.9494,1.79703,0.00505,0.00505,0.00505
27,1105.25,0.86177,1.05628,1.07158,0.42818,0.53347,0.30822,0.20276,1.40965,4.17589,1.5555,0.004852,0.004852,0.004852
28,1145.89,0.90455,1.0955,1.14703,0.52757,0.46481,0.41789,0.29422,1.01828,2.77903,1.26745,0.004654,0.004654,0.004654
29,1189.13,0.8826,1.01163,1.10639,0.65808,0.4357,0.55224,0.38976,0.92884,1.9383,1.19372,0.004456,0.004456,0.004456
30,1236.06,0.84212,1.02273,1.0798,0.57304,0.61683,0.62431,0.46298,0.9027,1.49202,1.17106,0.004258,0.004258,0.004258
31,1277.47,0.77801,0.92648,1.04712,0.7836,0.61257,0.70661,0.53577,0.81149,1.1694,1.12407,0.00406,0.00406,0.00406
32,1322.15,0.7463,0.90143,1.01617,0.7065,0.66106,0.71976,0.55512,0.82099,0.97287,1.10035,0.003862,0.003862,0.003862
33,1364.62,0.7884,0.88808,1.02416,0.67869,0.61855,0.72572,0.54839,0.83364,0.98054,1.09937,0.003664,0.003664,0.003664
34,1406.51,0.76404,0.9194,1.03515,0.57816,0.75007,0.74836,0.54898,0.77135,1.00345,1.07624,0.003466,0.003466,0.003466
35,1452.9,0.76257,0.82228,1.023,0.55117,0.79065,0.72848,0.54476,0.71559,1.01639,1.0393,0.003268,0.003268,0.003268
36,1500.02,0.72671,0.90576,1.00759,0.78161,0.59578,0.7409,0.57549,0.66163,1.02088,1.03613,0.00307,0.00307,0.00307
37,1546.06,0.72089,0.82015,1.00334,0.79333,0.63288,0.74513,0.58194,0.63766,0.94299,1.01679,0.002872,0.002872,0.002872
38,1591.36,0.63725,0.75491,0.9701,0.61243,0.84953,0.7803,0.60928,0.64433,0.86822,1.01232,0.002674,0.002674,0.002674
39,1638.74,0.68434,0.80368,0.9957,0.70278,0.84729,0.81207,0.63048,0.64736,0.86117,1.00251,0.002476,0.002476,0.002476
40,1678.95,0.74964,0.91681,1.04214,0.8406,0.76765,0.85571,0.67919,0.6178,0.73775,0.97063,0.002278,0.002278,0.002278
41,1722.15,0.67553,0.86037,1.06294,0.82261,0.83382,0.87368,0.69335,0.65214,0.71212,0.98132,0.00208,0.00208,0.00208
42,1763.25,0.60005,0.74483,0.97029,0.82015,0.83717,0.88526,0.70025,0.67783,0.72104,0.9902,0.001882,0.001882,0.001882
43,1803.19,0.65962,0.82051,1.01959,0.82513,0.86415,0.89493,0.71403,0.6515,0.74082,0.97593,0.001684,0.001684,0.001684
44,1843.51,0.58676,0.71158,0.9815,0.84502,0.89423,0.89534,0.74955,0.54478,0.68419,0.93665,0.001486,0.001486,0.001486
45,1894.2,0.58606,0.70734,0.98462,0.91034,0.81797,0.89531,0.75613,0.52986,0.65242,0.92969,0.001288,0.001288,0.001288
46,1954.04,0.56924,0.91538,0.95047,0.83864,0.88025,0.89459,0.75367,0.52866,0.64982,0.93223,0.00109,0.00109,0.00109
47,1996.73,0.54097,0.66059,0.94033,0.81015,0.93264,0.89429,0.75799,0.52603,0.64131,0.93372,0.000892,0.000892,0.000892
48,2037.41,0.59707,0.66508,0.99047,0.84156,0.88027,0.89334,0.76172,0.49822,0.63572,0.91881,0.000694,0.000694,0.000694
49,2081.89,0.56604,0.63399,0.95398,0.85672,0.87245,0.89444,0.76801,0.48459,0.62324,0.90977,0.000496,0.000496,0.000496
50,2123.93,0.53326,0.63305,0.9347,0.85525,0.85384,0.89018,0.77118,0.47791,0.61262,0.90511,0.000298,0.000298,0.000298
